Country / Region,2017 (standard patents (R)),2018 (standard patents (R)),2019 (standard patents (R)),2020 (standard patents (R)),2021 (standard patents (R)),2021  (standard patents (O))(Note: The Patents Registry started to receive standard patent (O) applications on 19.12.2019.)
ALGERIA,0,1,0,0,0,0
ANGUILLA,0,0,0,1,1,0
ANTIGUA AND BARBUDA,0,1,5,5,7,0
ARGENTINA,1,0,0,0,0,0
ARUBA,0,0,0,0,1,0
AUSTRALIA,85,110,82,89,110,0
AUSTRIA,46,46,20,35,58,0
BAHAMAS,10,5,5,2,1,0
BANGLADESH,0,0,0,1,0,0
BARBADOS,19,11,12,19,4,0
BELARUS,1,0,0,0,1,0
BELGIUM,42,83,66,66,81,0
BERMUDA,7,10,4,5,18,0
BRAZIL,4,4,4,3,5,0
BRITISH INDIAN OCEAN TERRITORY,0,0,0,0,1,0
BULGARIA,1,1,2,1,0,0
CANADA,115,195,154,188,221,0
CAYMAN ISLANDS,271,235,254,299,1165,0
CHILE,2,1,1,1,1,0
THE MAINLAND OF CHINA,345,577,483,578,3446,0
COLOMBIA,0,1,0,1,2,0
COSTA RICA,0,0,0,0,1,0
CUBA,1,2,2,0,1,0
CURACAO,2,3,1,1,0,0
CYPRUS,5,5,6,7,10,0
CZECHIA,3,3,4,2,5,0
DENMARK,47,64,35,45,81,0
EGYPT,1,0,0,1,0,0
ESTONIA,0,1,0,0,0,0
FINLAND,71,116,95,107,122,0
FRANCE,184,235,157,183,242,0
GERMANY,486,736,457,516,660,0
GREECE,2,1,5,3,3,0
"HONG KONG, CHINA",96,161,107,139,280,3
HUNGARY,4,7,3,3,9,0
ICELAND,1,1,0,0,4,0
INDIA,15,16,16,17,29,0
INDONESIA,0,1,0,0,0,0
IRELAND,38,72,54,66,105,0
ISRAEL,51,89,47,55,101,0
ITALY,138,169,103,114,176,0
JAPAN,887,1152,681,718,1076,0
KAZAKHSTAN,0,1,0,0,0,0
LATVIA,1,0,1,0,0,0
LEBANON,0,0,0,1,1,0
LIECHTENSTEIN,5,5,3,12,15,0
LITHUANIA,0,1,0,1,1,0
LUXEMBOURG,16,28,16,17,27,0
"MACAO, CHINA",0,2,1,1,0,0
MALAYSIA,5,7,6,4,3,0
MALTA,1,3,0,4,9,0
MAURITIUS,0,3,1,2,0,0
MEXICO,2,6,3,7,4,0
MONACO,0,3,2,5,5,0
MOROCCO,0,0,1,0,1,0
NAMIBIA,0,1,0,0,0,0
NETHERLANDS,90,141,98,130,223,0
NETHERLANDS ANTILLES,1,0,0,0,0,0
NEW ZEALAND,9,19,13,9,23,0
NORWAY,21,31,21,30,45,0
OMAN,0,0,0,0,1,0
PANAMA,0,1,0,1,0,0
PHILIPPINES,0,3,2,0,1,0
POLAND,1,7,7,3,6,0
PORTUGAL,3,6,7,1,8,0
PUERTO RICO,0,10,5,4,2,0
QATAR,1,1,1,0,0,0
REPUBLIC OF KOREA,66,105,68,90,212,4
ROMANIA,1,0,0,0,0,0
RUSSIAN FEDERATION,10,16,14,7,12,0
SAINT KITTS AND NEVIS,0,0,0,0,1,0
SAMOA,1,0,0,1,0,0
SAN MARINO,0,1,0,0,0,0
SAUDI ARABIA,0,3,2,1,2,0
SERBIA,0,0,0,0,1,0
SEYCHELLES,1,0,0,2,0,0
SINGAPORE,26,63,49,37,79,0
SLOVAKIA,1,3,0,0,3,0
SLOVENIA,1,0,3,1,1,0
SOUTH AFRICA,6,4,3,6,4,0
SPAIN,45,70,39,41,70,0
SWEDEN,66,115,97,121,198,0
SWITZERLAND,562,815,522,614,866,0
"TAIWAN, CHINA",33,53,37,28,96,0
THAILAND,0,2,5,5,7,0
TUNISIA,0,0,1,0,1,0
TURKEY,2,5,3,5,12,0
UKRAINE,1,0,0,1,0,0
UNITED ARAB EMIRATES,1,2,3,2,2,0
UNITED KINGDOM,221,367,286,325,532,0
UNITED STATES OF AMERICA,2458,3604,2578,2850,4126,0
URUGUAY,1,1,0,0,0,0
VIET NAM,2,4,1,1,0,0
VIRGIN ISLANDS (BRITISH),29,24,16,17,27,0
TOTAL,6671,9651,6780,7658,14655,7
Total Countries/Regions,66,73,64,69,71,2
