Year/Period,Sex,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
2000,Female,23.4,4.8,2.7,3.5,3.3,1.3,4.1
2001,Female,21.4,4.6,2.6,3.4,3.3,1.7,3.9
2002,Female,26.5,6.1,4.4,6,6.5,2.9,6
2003,Female,27.3,6.1,4.9,6.4,6.8,2.4,6.3
2004,Female,22.6,4.8,4.1,6.1,7.4,3.1,5.6
2005,Female,19,4.4,3.1,4.6,5.5,2.4,4.4
2006,Female,18.6,4.1,2.7,3.6,4.1,0,3.8
2007,Female,18.7,3.5,2.4,3.1,4,1.5,3.4
2008,Female,13.7,3.6,2.1,2.9,2.7,0.9,2.9
2009,Female,19.5,5.4,3.4,4.1,3.9,2.3,4.3
2010,Female,18.2,5.1,2.6,2.9,3.1,1.4,3.5
2011,Female,13.6,4.1,2,2.5,2.2,2,2.8
2012,Female,11.9,4.2,1.9,2.5,2.3,1.4,2.8
2013,Female,11.3,4.5,2.1,2.6,2.6,2.1,3
2014,Female,11.8,4.5,2,2.7,2.8,2.3,3
2015,Female,13,5.3,2,2.8,2.9,1.9,3.2
2016,Female,11.5,5,2,2.8,2.8,2,3.1
2017,Female,10,4.9,2,2.4,2.6,2,2.9
2018,Female,9.2,4.5,1.7,2,2.1,1.6,2.4
2019,Female,8.1,4.1,1.7,1.9,2,1.8,2.3
2020,Female,15.2,8.1,3.5,3.9,4.6,4.2,4.7
2021,Female,12.3,6.6,3.2,3.6,4.6,3.7,4.2
2022,Female,11,4.9,2.3,2.5,3.2,2.7,3
