Year/Period,Sex,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
2000,Male,23.9,6.8,3.7,4.8,7.1,3.3,5.6
2001,Male,25.4,7.8,4.3,5.4,6.3,2.9,6
2002,Male,34.2,10.5,6.4,7.1,9.1,5.5,8.4
2003,Male,32.7,11.5,7.1,8,10.6,5.1,9.3
2004,Male,29,9.1,5.6,6.7,9.3,6.5,7.8
2005,Male,24.2,8.2,4.6,5.7,7.7,4.3,6.5
2006,Male,24.8,7.3,4.2,4.7,6.3,3,5.7
2007,Male,20.7,6,3.4,3.7,4.9,2.8,4.6
2008,Male,18.1,5.8,2.7,3.3,4.3,2.2,4
2009,Male,23.8,9.3,4.4,5.1,6.1,3.2,6.1
2010,Male,22.9,8.2,3.6,4,4.9,3.2,5.1
2011,Male,17.9,6.7,3.1,3,3.9,2,4
2012,Male,15.5,6.6,2.9,3,3.4,2.2,3.8
2013,Male,17.6,6.8,2.5,3.1,3.4,2.3,3.8
2014,Male,13.3,6.4,2.4,2.8,3.1,3.1,3.6
2015,Male,15.6,6.5,2.2,2.8,2.8,2.8,3.4
2016,Male,15.8,6.9,2.6,2.9,3.2,2.3,3.7
2017,Male,12.3,6.5,2.4,2.6,3,2.4,3.4
2018,Male,11.4,6.5,2.3,2.5,2.8,2.1,3.2
2019,Male,11.9,6.8,2.6,2.7,3.3,2.6,3.5
2020,Male,22.7,11.7,5.1,5.5,7.2,5.6,6.9
2021,Male,19.2,9.8,4.8,5.2,6.4,5.1,6.1
2022,Male,14.6,6.8,3.5,3.6,4.5,3.9,4.4
