Year/Period,Sex,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
2000,Both sexes,23.7,5.8,3.2,4.3,6,2.9,4.9
2001,Both sexes,23.5,6.2,3.5,4.6,5.4,2.7,5.1
2002,Both sexes,30.6,8.2,5.4,6.7,8.2,5,7.3
2003,Both sexes,30.2,8.7,6,7.4,9.3,4.6,7.9
2004,Both sexes,26,6.9,4.9,6.5,8.7,5.9,6.8
2005,Both sexes,21.9,6.2,3.8,5.3,6.9,3.9,5.6
2006,Both sexes,21.9,5.6,3.4,4.3,5.5,2.6,4.8
2007,Both sexes,19.8,4.6,2.9,3.5,4.6,2.5,4
2008,Both sexes,16,4.6,2.4,3.1,3.7,1.9,3.5
2009,Both sexes,21.8,7.2,3.9,4.6,5.3,3,5.3
2010,Both sexes,20.8,6.6,3.1,3.5,4.2,2.8,4.3
2011,Both sexes,15.8,5.3,2.5,2.7,3.3,2,3.4
2012,Both sexes,13.8,5.3,2.4,2.8,2.9,2,3.3
2013,Both sexes,14.5,5.6,2.3,2.9,3.1,2.3,3.4
2014,Both sexes,12.5,5.4,2.2,2.7,3,2.8,3.3
2015,Both sexes,14.3,5.9,2.1,2.8,2.8,2.5,3.3
2016,Both sexes,13.8,5.9,2.3,2.8,3.1,2.2,3.4
2017,Both sexes,11.1,5.7,2.2,2.5,2.9,2.3,3.1
2018,Both sexes,10.3,5.5,1.9,2.2,2.5,1.9,2.8
2019,Both sexes,10.1,5.4,2.1,2.3,2.7,2.3,2.9
2020,Both sexes,19,9.8,4.2,4.7,6,5.1,5.8
2021,Both sexes,15.6,8.1,3.9,4.3,5.5,4.6,5.2
2022,Both sexes,12.7,5.9,3,3.7,3.7,3.3,3.7
