Date,Age Group,Sex,Sinovac 1st dose,Sinovac 2nd dose,Sinovac 3rd dose,Sinovac 4th dose,BioNTech 1st dose,BioNTech 2nd dose,BioNTech 3rd dose,BioNTech 4th dose
2021-3-1,12月19日,F,6,0,0,0,0,0,0,0
2021-3-1,12月19日,M,4,0,0,0,0,0,0,0
2021-3-1,20-29,F,32,0,0,0,0,0,0,0
2021-3-1,20-29,M,42,0,0,0,0,0,0,0
2021-3-1,30-39,F,94,0,0,0,0,0,0,0
2021-3-1,30-39,M,171,0,0,0,0,0,0,0
2021-3-1,40-49,F,319,0,0,0,0,0,0,0
2021-3-1,40-49,M,555,0,0,0,0,0,0,0
2021-3-1,50-59,F,302,0,0,0,0,0,0,0
2021-3-1,50-59,M,649,0,0,0,0,0,0,0
2021-3-1,60-69,F,970,0,0,0,0,0,0,0
2021-3-1,60-69,M,2077,0,0,0,0,0,0,0
2021-3-1,70-79,F,343,0,0,0,0,0,0,0
2021-3-1,70-79,M,570,0,0,0,0,0,0,0
2021-3-1,80 and above,F,137,0,0,0,0,0,0,0
2021-3-1,80 and above,M,137,0,0,0,0,0,0,0
2021-3-2,12月19日,F,11,0,0,0,0,0,0,0
2021-3-2,12月19日,M,9,0,0,0,0,0,0,0
2021-3-2,20-29,F,69,0,0,0,0,0,0,0
2021-3-2,20-29,M,56,0,0,0,0,0,0,0
2021-3-2,30-39,F,220,0,0,0,0,0,0,0
2021-3-2,30-39,M,204,0,0,0,0,0,0,0
2021-3-2,40-49,F,570,0,0,0,0,0,0,0
2021-3-2,40-49,M,675,0,0,0,0,0,0,0
2021-3-2,50-59,F,623,0,0,0,0,0,0,0
2021-3-2,50-59,M,894,0,0,0,0,0,0,0
2021-3-2,60-69,F,2549,0,0,0,0,0,0,0
2021-3-2,60-69,M,3659,0,0,0,0,0,0,0
2021-3-2,70-79,F,1094,0,0,0,0,0,0,0
2021-3-2,70-79,M,1601,0,0,0,0,0,0,0
2021-3-2,80 and above,F,403,0,0,0,0,0,0,0
2021-3-2,80 and above,M,434,0,0,0,0,0,0,0
2021-3-3,12月19日,F,11,0,0,0,0,0,0,0
2021-3-3,12月19日,M,11,0,0,0,0,0,0,0
2021-3-3,20-29,F,72,0,0,0,0,0,0,0
2021-3-3,20-29,M,97,0,0,0,0,0,0,0
2021-3-3,30-39,F,255,0,0,0,0,0,0,0
2021-3-3,30-39,M,249,0,0,0,0,0,0,0
2021-3-3,40-49,F,583,1,0,0,0,0,0,0
2021-3-3,40-49,M,692,1,0,0,0,0,0,0
2021-3-3,50-59,F,647,0,0,0,0,0,0,0
2021-3-3,50-59,M,899,0,0,0,0,0,0,0
2021-3-3,60-69,F,2108,0,0,0,0,0,0,0
2021-3-3,60-69,M,2913,0,0,0,0,0,0,0
2021-3-3,70-79,F,951,0,0,0,0,0,0,0
2021-3-3,70-79,M,1430,0,0,0,0,0,0,0
2021-3-3,80 and above,F,353,0,0,0,0,0,0,0
2021-3-3,80 and above,M,395,0,0,0,0,0,0,0
2021-3-4,12月19日,F,12,0,0,0,0,0,0,0
2021-3-4,12月19日,M,10,0,0,0,0,0,0,0
2021-3-4,20-29,F,66,0,0,0,0,0,0,0
2021-3-4,20-29,M,91,0,0,0,0,0,0,0
2021-3-4,30-39,F,254,0,0,0,0,0,0,0
2021-3-4,30-39,M,251,0,0,0,0,0,0,0
